IndividualID,Forenames,Surname,Portrait Filename,Alias,Gender,has Portrait?,is Dragoman?,Apprentice only,BirthDate,BirthLocation,DeathDate,DeathLocation,Occupation,LifeSpan,Relation,BudgieCode,Ahnentafel,HasRangedBirthDate,HasParents,CensusFactCount,MarriageDates,MarriageLocations,RelationToRoot,BirthStart,BirthEnd,DeathStart,DeathEnd,FamilyIDsAsParent,FamilyIDsAsChild,ChildrenCount,MarriageCount
I0112,Bernardo,Borisi,,,M,,,,UNKNOWN,,,,Pstelnic of Wallachia (1613-16) and Moldavia (1616-18),Unknown,By Marriage,,0,FALSE,TRUE,0,,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,,F0035,0,0
I0113,Franceschina,Borisi,,,F,,,,UNKNOWN,,,,,Unknown,By Marriage,,0,FALSE,TRUE,0,UNKNOWN,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,F0044,F0035,0,1
I0115,Smeralda,Borisi,,,F,,,,< 1609,,,,,>= 110,By Marriage,,0,FALSE,TRUE,0,,,,12/31/1608 12:00:00 AM,12/31/1608 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,,F0032,0,0
I0116,Giacoma,Borisi,,,F,,,,< 1609,,,,,>= 110,By Marriage,,0,FALSE,TRUE,0,,,,12/31/1608 12:00:00 AM,12/31/1608 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,,F0032,0,0
I0211,Despina,Borisi,,,F,,,,UNKNOWN,,,,,Unknown,By Marriage,,0,FALSE,FALSE,0,UNKNOWN,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,F0071,,1,1
I0400,Francesco,Borisi,,,M,,Y,,UNKNOWN,,> 1757,,Gdl,Unknown,Unknown,,0,FALSE,FALSE,0,,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/1758 12:00:00 AM,1/1/1758 12:00:00 AM,,,0,0
I0157,Maria,Bruni,,,F,,,,UNKNOWN,,,,,Unknown,By Marriage,,0,FALSE,TRUE,0,UNKNOWN,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,F0055,F0060,7,1
I0167,Matteo,Bruni,,,M,,,,UNKNOWN,,,,Landlord of Skodra,Unknown,By Marriage,,0,FALSE,FALSE,0,UNKNOWN,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,F0060,,3,1
I0168,Gasparo,Bruni,,,M,,,,UNKNOWN,,,,Roman Galley Master in Battle of Lepanto,Unknown,By Marriage,,0,FALSE,TRUE,0,,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,,F0060,0,0
I0169,Giovanni,Bruni,,,M,,,,UNKNOWN,,1571,,Archibishop of Antivari,Unknown,By Marriage,,0,FALSE,TRUE,0,,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/1571 12:00:00 AM,12/31/1571 12:00:00 AM,,F0060,0,0
I0198,Stefano,Bruni,,,M,,,,UNKNOWN,,,,,Unknown,By Marriage,,0,FALSE,FALSE,0,UNKNOWN,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,F0068,,0,1
I0088,Christoforo,Brutti,,,M,,Y,,ca. 1590,,,,Began Studying Turkish in Istanbul,>= 110,By Marriage,,0,FALSE,TRUE,0,1620,,,1/1/1589 12:00:00 AM,12/31/1590 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,F0033,F0071,3,1
I0091,Giacoma,Brutti,,,F,,,,1549,,,,,>= 110,By Marriage,,0,FALSE,TRUE,0,UNKNOWN,,,1/1/1549 12:00:00 AM,12/31/1549 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,F0035,F0055,4,1
I0152,Angela,Brutti,,,F,,,,UNKNOWN,,,,,Unknown,By Marriage,,0,FALSE,TRUE,0,1610,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,F0046,F0059,4,1
I0155,Bartolomeo,Brutti,,,M,,Y,,1557,,1592,,"Appointed Gdl, Soon Ordered to Travel to Venice [To Be Dismissed?]",34 to 35,By Marriage,,0,FALSE,TRUE,0,BEF 1579,,,1/1/1557 12:00:00 AM,12/31/1557 12:00:00 AM,1/1/1592 12:00:00 AM,12/31/1592 12:00:00 AM,F0056,F0055,1,1
I0156,Antonio,Brutti,,,M,,,,1518,,1571,,,52 to 53,By Marriage,,0,FALSE,TRUE,0,UNKNOWN,,,1/1/1518 12:00:00 AM,12/31/1518 12:00:00 AM,1/1/1571 12:00:00 AM,12/31/1571 12:00:00 AM,F0055,F0065,7,1
I0162,Marco,Brutti,,,M,,,,UNKNOWN,,1571,,,Unknown,By Marriage,,0,FALSE,TRUE,0,,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/1571 12:00:00 AM,12/31/1571 12:00:00 AM,,F0055,0,0
I0163,Giacomo,Brutti,,,M,,,,UNKNOWN,,ca. 1615,,Galley Captain and Slave Merchant,Unknown,By Marriage,,0,FALSE,TRUE,0,UNKNOWN,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/1614 12:00:00 AM,12/31/1615 12:00:00 AM,F0059,F0055,8,1
I0165,Antonio,Brutti,,,M,,,,UNKNOWN,,,,Bishop of Antivari,Unknown,By Marriage,,0,FALSE,TRUE,0,,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,,F0055,0,0
I0170,Christoforo,Brutti,,,M,,Y,,< 1570,,1592,,Venetian Dragoman,Unknown,By Marriage,,0,FALSE,TRUE,0,,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/1592 12:00:00 AM,12/31/1592 12:00:00 AM,,F0055,0,0
I0171,Ilarietta,Brutti,,,F,,,,UNKNOWN,,,,,Unknown,By Marriage,,0,FALSE,TRUE,0,UNKNOWN,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,F0061,F0065,0,1
I0173,Lucietta,Brutti,,,F,,,,UNKNOWN,,> 1561,,,Unknown,By Marriage,,0,FALSE,TRUE,0,UNKNOWN,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/1562 12:00:00 AM,1/1/1562 12:00:00 AM,F0062,F0065,0,1
I0178,Antonio-Stanislao,Brutti,,,M,,,,1579,,,,Abbot,>= 110,By Marriage,,0,FALSE,TRUE,0,,,,1/1/1579 12:00:00 AM,12/31/1579 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,,F0056,0,0
I0179,Caterina,Brutti,,,F,,,,UNKNOWN,,,,,Unknown,By Marriage,,0,FALSE,TRUE,0,UNKNOWN,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,F0064,F0065,0,1
I0181,Barnaba,Brutti,,,M,,,,1474,,,,,>= 110,By Marriage,,0,FALSE,TRUE,0,UNKNOWN,,,1/1/1474 12:00:00 AM,12/31/1474 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,F0065,F0066,6,1
I0184,Giacoma,Brutti,,,F,,,,UNKNOWN,,,,,Unknown,By Marriage,,0,FALSE,TRUE,0,,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,,F0065,0,0
I0185,Christoforo,Brutti,,,M,,,,UNKNOWN,,> 1568,,,Unknown,By Marriage,,0,FALSE,TRUE,0,,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/1569 12:00:00 AM,1/1/1569 12:00:00 AM,,F0065,0,0
I0186,Antonio,Brutti,,,M,,,,1446,,,,Captain of Durres,>= 110,By Marriage,,0,FALSE,TRUE,0,UNKNOWN,,,1/1/1446 12:00:00 AM,12/31/1446 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,F0066,F0067,8,1
I0188,Bartolomeo,Brutti,,,M,,,,UNKNOWN,,,,Venetian Vicebailo of Durres,Unknown,By Marriage,,0,FALSE,FALSE,0,UNKNOWN,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,F0067,,7,1
I0190,Bartolomeo,Brutti,,,M,,,,1419,,,,,>= 110,By Marriage,,0,FALSE,TRUE,0,,,,1/1/1419 12:00:00 AM,12/31/1419 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,,F0067,0,0
I0191,Giorgia,Brutti,,,F,,,,UNKNOWN,,,,,Unknown,By Marriage,,0,FALSE,TRUE,0,,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,,F0067,0,0
I0192,Giovanni,Brutti,,,M,,,,UNKNOWN,,> 1475,,,Unknown,By Marriage,,0,FALSE,TRUE,0,,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/1476 12:00:00 AM,1/1/1476 12:00:00 AM,,F0067,0,0
I0193,Christoforo,Brutti,,,M,,,,UNKNOWN,,,,,Unknown,By Marriage,,0,FALSE,TRUE,0,,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,,F0067,0,0
I0194,Antonio,Brutti,,,M,,,,UNKNOWN,,,,,Unknown,By Marriage,,0,FALSE,TRUE,0,,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,,F0067,0,0
I0195,Decio,Brutti,,,M,,,,UNKNOWN,,,,,Unknown,By Marriage,,0,FALSE,TRUE,0,,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,,F0067,0,0
I0196,Giovanni,Brutti,,,M,,,,UNKNOWN,,1571,,,Unknown,By Marriage,,0,FALSE,TRUE,0,,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/1571 12:00:00 AM,12/31/1571 12:00:00 AM,,F0066,0,0
I0197,Lucia,Brutti,,,F,,,,UNKNOWN,,> 1524,,,Unknown,By Marriage,,0,FALSE,TRUE,0,UNKNOWN,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/1525 12:00:00 AM,1/1/1525 12:00:00 AM,F0068,F0066,0,1
I0199,Pietro,Brutti,,,M,,,,UNKNOWN,,,,,Unknown,By Marriage,,0,FALSE,TRUE,0,,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,,F0066,0,0
I0200,Bona,Brutti,,,F,,,,UNKNOWN,,> 1520,,,Unknown,By Marriage,,0,FALSE,TRUE,0,UNKNOWN,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/1521 12:00:00 AM,1/1/1521 12:00:00 AM,F0069,F0066,0,1
I0202,Maria,Brutti,,,F,,,,UNKNOWN,,,,Nun,Unknown,By Marriage,,0,FALSE,TRUE,0,,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,,F0066,0,0
I0203,Oria,Brutti,,,F,,,,UNKNOWN,,,,,Unknown,By Marriage,,0,FALSE,TRUE,0,UNKNOWN,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,F0070,F0066,0,1
I0205,Marco,Brutti,,,M,,,,UNKNOWN,,,,,Unknown,By Marriage,,0,FALSE,TRUE,0,,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,,F0066,0,0
I0207,Despina,Brutti,,,F,,,,UNKNOWN,,,,,Unknown,By Marriage,,0,FALSE,TRUE,0,,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,,F0033,0,0
I0208,Cecilia,Brutti,,,F,,,,UNKNOWN,,,,,Unknown,By Marriage,,0,FALSE,TRUE,0,,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,,F0033,0,0
I0209,Christoforo,Brutti,,,M,,Y,,> 1620,,1670,,Appointed Gdl,<= 49,By Marriage,,0,FALSE,TRUE,0,,,,1/1/1621 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/1670 12:00:00 AM,12/31/1670 12:00:00 AM,,F0033,0,0
